col_id	kingdom	phylum	class	order	family	genus
COL683	Bacteria	Actinomycetota	Actinobacteria	Euzebyales	Euzebyaceae	Euzebya
COL684	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Arcticibacter
COL685	Bacteria	Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	Mageeibacillus
COL686	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Ferruginibacter
COL687	Bacteria	Verrucomicrobiota	Verrucomicrobiia	NA	NA	NA
COL688	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Niastella
COL689	Bacteria	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Rhodanobacteraceae	NA
COL690	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	NA
COL691	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Crocinitomix
COL692	Bacteria	Pseudomonadota	Gammaproteobacteria	Legionellales	Legionellaceae	NA
COL693	Bacteria	Pseudomonadota	Gammaproteobacteria	Acidiferrobacterales	Acidiferrobacteraceae	Sulfurifustis
COL694	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Parafilimonas
COL695	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	OLB17
COL696	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	NA
COL697	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	UTBCD1
COL698	Bacteria	Planctomycetota	NA	NA	NA	NA
COL699	Bacteria	Armatimonadota	Armatimonadia	Armatimonadales	Armatimonadaceae	Armatimonas
COL700	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	NA
COL701	Bacteria	Pseudomonadota	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Methylobacter
COL702	Bacteria	Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae	Pedosphaera
COL703	Bacteria	Dependentiae	Babeliae	Babeliales	NA	NA
COL704	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Fimbriiglobus
COL705	Bacteria	Pseudomonadota	Alphaproteobacteria	Rickettsiales	Midichloriaceae	NA
COL706	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Solitalea
COL707	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Imperialibacter
COL708	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Paludibacteraceae	H1
COL709	Bacteria	Planctomycetota	Planctomycetes	NA	NA	NA
COL710	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolinea
COL711	Bacteria	Actinomycetota	Actinobacteria	Actinomycetales	Actinomycetaceae	F0332
COL712	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Lautropia
COL713	Bacteria	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Lichenibacterium
COL714	Bacteria	Cyanobacteriota	Cyanobacteriia	NA	NA	NA
COL715	Bacteria	Myxococcota	NA	NA	NA	NA
COL716	Bacteria	Chloroflexota	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	FCPS473
COL717	Bacteria	Actinomycetota	Actinobacteria	Frankiales	NA	NA
COL718	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales	NA	NA
