taxon	projection	kingdom	phylum	class	order	family	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8
Bacteria||Patescibacteria||Gracilibacteria||JGI 0000069-P22||Incertae Sedis	full	Bacteria	Patescibacteria	Gracilibacteria	JGI 0000069-P22	Incertae Sedis	-6.26685317338283e-05	-0.000347979195831825	-0.000591572613608705	-0.00146959701584381	-0.000823256622912778	-0.000612874249215695	-0.00127156612149247	-1.64079833584301e-05
Bacteria||Patescibacteria||Gracilibacteria||NA||NA	full	Bacteria	Patescibacteria	Gracilibacteria	NA	NA	-2.33015840535439e-06	-1.84687821163921e-06	-6.1973475150955e-06	-1.65842585336308e-05	-2.03002369571227e-05	-3.04747124657863e-05	-2.38192868773549e-05	1.70075175828387e-05
Bacteria||Patescibacteria||Incertae Sedis||Incertae Sedis||Incertae Sedis	full	Bacteria	Patescibacteria	Incertae Sedis	Incertae Sedis	Incertae Sedis	-3.75647348219235e-06	-2.73946142662508e-05	5.21621876601518e-06	-3.72473961727356e-05	1.71637960951762e-05	-2.51082359676377e-05	-3.61552112399554e-05	2.14365324391215e-05
Bacteria||Patescibacteria||Kazania||Incertae Sedis||Incertae Sedis	full	Bacteria	Patescibacteria	Kazania	Incertae Sedis	Incertae Sedis	-5.58305729634044e-08	8.85500690731533e-07	4.82690601218054e-07	5.73366902407895e-07	-2.64539298157815e-06	-8.84881813617352e-06	2.84570032576775e-06	1.72956600950684e-06
Bacteria||Patescibacteria||Microgenomatia||Candidatus Amesbacteria||Incertae Sedis	full	Bacteria	Patescibacteria	Microgenomatia	Candidatus Amesbacteria	Incertae Sedis	-1.0120032853219e-05	-4.55223858508882e-05	9.30703823669533e-06	-3.11458093019744e-05	-1.98551951363228e-05	-5.75321390062203e-05	-6.79268144836373e-05	4.07393459755885e-05
Bacteria||Patescibacteria||Microgenomatia||Candidatus Chisholmbacteria||Incertae Sedis	full	Bacteria	Patescibacteria	Microgenomatia	Candidatus Chisholmbacteria	Incertae Sedis	0	0	0	0	0	0	0	0
Bacteria||Patescibacteria||Microgenomatia||Candidatus Collierbacteria||Incertae Sedis	full	Bacteria	Patescibacteria	Microgenomatia	Candidatus Collierbacteria	Incertae Sedis	-2.64096035980353e-06	-4.24368859448454e-06	-8.47805614795627e-06	3.00413434399654e-06	-5.70497596278545e-06	-7.76600667776737e-06	-1.92582880646623e-05	-6.01075130687838e-06
Bacteria||Patescibacteria||Microgenomatia||Candidatus Curtissbacteria||Incertae Sedis	full	Bacteria	Patescibacteria	Microgenomatia	Candidatus Curtissbacteria	Incertae Sedis	-3.01205833666808e-06	-1.08443220505705e-05	-3.30510025667531e-06	-1.69375061806554e-05	9.72186736777028e-06	-9.46450405928365e-06	-2.5514681496919e-05	1.35274803746346e-05
Bacteria||Patescibacteria||Microgenomatia||Candidatus Daviesbacteria||Incertae Sedis	full	Bacteria	Patescibacteria	Microgenomatia	Candidatus Daviesbacteria	Incertae Sedis	-1.50119841723249e-06	-1.33905719151336e-05	-1.63691969423278e-05	-1.29912201173919e-05	-1.37954441572556e-05	-3.31592698255882e-05	-3.3103670178194e-05	6.72683558720284e-06
Bacteria||Patescibacteria||Microgenomatia||Candidatus Gottesmanbacteria||Incertae Sedis	full	Bacteria	Patescibacteria	Microgenomatia	Candidatus Gottesmanbacteria	Incertae Sedis	-4.46311870570724e-06	-1.05073810409559e-05	-1.21833636330662e-05	6.21883704398479e-06	-1.4033706905658e-05	-5.96201390066974e-06	1.27279956433449e-05	-2.0889028034431e-05
Bacteria||Patescibacteria||Microgenomatia||Candidatus Levybacteria||Incertae Sedis	full	Bacteria	Patescibacteria	Microgenomatia	Candidatus Levybacteria	Incertae Sedis	-3.50750262496011e-06	-2.68244642381591e-05	-5.94333857378527e-06	-9.56621559922585e-06	1.5380689695598e-05	-9.08798859918915e-06	-1.89654539213755e-05	7.81069530440491e-06
Bacteria||Patescibacteria||Microgenomatia||Candidatus Pacebacteria||Incertae Sedis	full	Bacteria	Patescibacteria	Microgenomatia	Candidatus Pacebacteria	Incertae Sedis	-7.89389070304519e-06	-1.96813962376975e-05	-2.6147664578399e-06	-1.58290282957918e-05	2.20883369131488e-05	-2.94628212007132e-05	-1.21203321111545e-05	2.48272301303718e-05
